energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,track_name,track_album_release_date,instrumentalness,acousticness,id,type
0.681,155.079,0.56,pop,-6.304,0.106,0.388,0.244,89,Q U E V A S H A C E R H O Y ?,2024.0,0.0,0.103,0Sr7ssScx54yxdM2ols7nW,audio_features
0.689,120.208,0.724,latin,-7.174,0.0922,0.936,0.0524,89,EL LOKERON,2024.0,6.77e-06,0.573,6X6m4xmdFcz31p1h7Qg68c,audio_features
0.604,159.92,0.561,pop,-4.409,0.104,0.242,0.0337,89,Lose Control,2023.0,1.9e-05,0.199,17phhZDn6oGtzMe56NuWvj,audio_features
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,0.0432,89,Mantra,2024.0,1.15e-05,0.00434,2CspwnypzT7rcWI9RfsoSb,audio_features
0.698,143.994,0.726,pop,-4.165,0.309,0.867,0.0431,89,Locked out of Heaven,2012.0,0.0,0.049,3w3y8KPTfNeOKPiqUTakBh,audio_features
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,0.0584,89,End of Beginning,2022.0,0.00259,0.0351,3qhlB30KknSejmIvZZLjOD,audio_features
0.52,120.001,0.672,pop,-7.747,0.115,0.37,0.0353,89,Night Changes,2014.0,0.0,0.859,5O2P9iiztwhomNh8xkR9lJ,audio_features
0.872,184.115,0.466,pop,-3.344,0.121,0.806,0.0336,89,The Emptiness Machine,2024.0,0.0,0.0156,2PnlsTsOTLE5jnBnNe2K0A,audio_features
0.471,105.029,0.472,pop,-5.692,0.14,0.219,0.0603,89,Beautiful Things,2024.0,0.0,0.151,3xkHsmpQCBMytMJNiDf3Ii,audio_features
0.64,84.828,0.264,pop,-6.221,0.151,0.19,0.0442,89,"One Of The Girls (with JENNIE, Lily Rose Depp)",2023.0,2.31e-06,0.0393,7CyPwkp0oE8Ro9Dd5CUDjW,audio_features
0.757,142.579,0.482,pop,-4.586,0.143,0.12,0.0355,88,NIGHTS LIKE THIS,2023.0,0.0016,0.0137,1XBYiRV30ykHw5f4wm6qEn,audio_features
0.757,139.982,0.742,pop,-4.981,0.305,0.957,0.0421,88,HOT TO GO!,2023.0,0.0,0.0187,4xdBrk0nFZaP54vvZj0yx7,audio_features
0.812,80.09,0.505,pop,-3.986,0.444,0.664,0.461,88,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",2024.0,0.0,0.285,3tFed7YsjGnIfxeLEQwx3R,audio_features
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,0.0411,88,Diet Pepsi,2024.0,0.00962,0.495,6MzofobZt2dm0Kf1hTThFz,audio_features
0.482,100.029,0.69,latin,-6.335,0.0728,0.356,0.2,88,NEL,2024.0,0.0004,0.523,5AH31dDNgxCMGDdxubNNn4,audio_features
0.56,134.066,0.853,pop,-4.961,0.0944,0.86,0.0406,88,That's What I Like,2016.0,0.0,0.013,0KKkJNfGyhkQ5aFogxQAPU,audio_features
0.776,103.963,0.699,pop,-5.282,0.205,0.708,0.0293,88,Espresso,2024.0,5.36e-06,0.131,2HRqTpkrJO5ggZyyK6NPWz,audio_features
0.513,109.935,0.745,latin,-9.116,0.216,0.929,0.087,88,DOS DÍAS,2024.0,0.0,0.783,5lKFO0PrOC9jmOlPEdjHsL,audio_features
0.472,101.061,0.898,pop,-7.001,0.141,0.214,0.0776,88,Not Like Us,2024.0,0.0,0.0107,6AI3ezQ4o3HUoP6Dhudph3,audio_features
0.369,174.097,0.448,pop,-9.514,0.638,0.0998,0.0452,88,The Night We Met,2015.0,0.272,0.968,3hRV0jL3vUpRrcy398teAU,audio_features
0.86,100.019,0.774,latin,-2.888,0.116,0.446,0.13,88,LUNA,2023.0,0.0,0.131,7bywjHOc0wSjGGbj04XbVi,audio_features
0.601,123.994,0.635,pop,-6.129,0.11,0.332,0.0295,88,Stargazing,2024.0,0.0,0.246,3Vr3zh0r7ALn8VLqCiRR10,audio_features
0.586,107.071,0.669,pop,-6.073,0.104,0.579,0.054,88,Please Please Please,2024.0,0.0,0.274,5N3hjp1WNayUPZrA8kJmJP,audio_features
0.5,117.896,0.664,pop,-6.935,0.0966,0.801,0.0651,87,Stick Season,2022.0,0.0,0.799,0mflMxspEfB0VbI1kyLiAv,audio_features
0.555,96.063,0.392,pop,-6.707,0.13,0.191,0.039,87,Like Him (feat. Lola Young),2024.0,0.000253,0.287,6jbYpRPTEFl1HFKHk1IC0m,audio_features
0.818,97.571,0.373,hip-hop,-3.19,0.434,0.361,0.102,87,"Darling, I (feat. Teezo Touchdown)",2024.0,0.0,0.36,0VaeksJaXy5R1nvcTMh3Xk,audio_features
0.28,72.795,0.612,pop,-8.648,0.088,0.387,0.0434,87,When I Was Your Man,2012.0,0.0,0.932,0nJW01T7XtvILxQgC5J7Wh,audio_features
