energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4,0.244,89,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,PRIMERA MUSA,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,2024.0,0.0,3C5uwdRE5QRoXSGPPxpDd4,0,6,223320,0.103,0Sr7ssScx54yxdM2ols7nW,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.689,120.208,0.724,latin,-7.174,0.0922,0.936,Tito Double P,3,0.0524,89,https://api.spotify.com/v1/tracks/6X6m4xmdFcz31p1h7Qg68c,spotify:track:6X6m4xmdFcz31p1h7Qg68c,INCÓMODO,Viva Latino,https://api.spotify.com/v1/audio-analysis/6X6m4xmdFcz31p1h7Qg68c,6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,2024.0,6.77e-06,27GWSFRITD8JJcSGMgEfTN,0,7,146141,0.573,6X6m4xmdFcz31p1h7Qg68c,modern,audio_features,37i9dQZF1DX10zKzsJ2jva
0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,3,0.0337,89,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,I've Tried Everything But Therapy (Part 1),Today's Top Hits,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,17phhZDn6oGtzMe56NuWvj,Lose Control,2023.0,1.9e-05,7nacKlk586eLRBSIsrk9DB,1,9,210689,0.199,17phhZDn6oGtzMe56NuWvj,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,4,0.0432,89,https://api.spotify.com/v1/tracks/2CspwnypzT7rcWI9RfsoSb,spotify:track:2CspwnypzT7rcWI9RfsoSb,Mantra,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2CspwnypzT7rcWI9RfsoSb,2CspwnypzT7rcWI9RfsoSb,Mantra,2024.0,1.15e-05,3e5tDT1kfaAGx10yOjIDgW,0,10,136627,0.00434,2CspwnypzT7rcWI9RfsoSb,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.698,143.994,0.726,pop,-4.165,0.309,0.867,Bruno Mars,4,0.0431,89,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,Unorthodox Jukebox,Global Top 50,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,2012.0,0.0,58ufpQsJ1DS5kq4hhzQDiI,1,5,233478,0.049,3w3y8KPTfNeOKPiqUTakBh,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4,0.0584,89,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,DECIDE,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,3qhlB30KknSejmIvZZLjOD,End of Beginning,2022.0,0.00259,4JDXBZdRPId4devseaAOKH,1,2,159246,0.0351,3qhlB30KknSejmIvZZLjOD,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.52,120.001,0.672,pop,-7.747,0.115,0.37,One Direction,4,0.0353,89,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,FOUR (Deluxe),Global Top 50,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,5O2P9iiztwhomNh8xkR9lJ,Night Changes,2014.0,0.0,4gCNyS7pidfK3rKWhB3JOY,1,8,226600,0.859,5O2P9iiztwhomNh8xkR9lJ,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,4,0.0336,89,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2PnlsTsOTLE5jnBnNe2K0A,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,2024.0,0.0,6W0Gabv5f3ugnckc6YgfJQ,1,7,190428,0.0156,2PnlsTsOTLE5jnBnNe2K0A,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,3,0.0603,89,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Fireworks & Rollerblades,Global Top 50,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,2024.0,0.0,168CdR21lfn0TTyw1Pkdcm,1,10,180304,0.151,3xkHsmpQCBMytMJNiDf3Ii,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.64,84.828,0.264,pop,-6.221,0.151,0.19,"The Weeknd, JENNIE, Lily-Rose Depp",4,0.0442,89,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),Global Top 50,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",2023.0,2.31e-06,7tzVd1fwkxsorytCBjEJkU,1,8,244685,0.0393,7CyPwkp0oE8Ro9Dd5CUDjW,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.757,142.579,0.482,pop,-4.586,0.143,0.12,The Kid LAROI,4,0.0355,88,https://api.spotify.com/v1/tracks/1XBYiRV30ykHw5f4wm6qEn,spotify:track:1XBYiRV30ykHw5f4wm6qEn,THE FIRST TIME,Global Top 50,https://api.spotify.com/v1/audio-analysis/1XBYiRV30ykHw5f4wm6qEn,1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,2023.0,0.0016,63IolVUykZCHMlu2zu9jHS,1,6,86984,0.0137,1XBYiRV30ykHw5f4wm6qEn,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4,0.0421,88,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7,The Rise and Fall of a Midwest Princess,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,2023.0,0.0,0EiI8ylL0FmWWpgHVTsZjZ,1,6,184841,0.0187,4xdBrk0nFZaP54vvZj0yx7,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
