playlist_genre,track_album_release_date,median_energy,median_tempo,median_danceability,median_loudness,median_liveness,median_valence,median_speechiness,median_instrumentalness,median_acousticness,median_track_popularity
electronic,2008,0.862,128.036,0.498,-6.02,0.352,0.469,0.0588,0.00918,0.000313,73.0
pop,2008,0.7495,120.83500000000001,0.7645,-4.525,0.09964999999999999,0.7144999999999999,0.0497,8.6e-07,0.03025,75.5
pop,2009,0.804,112.032,0.725,-5.804,0.20750000000000002,0.435,0.051449999999999996,1.06e-05,0.13015,74.5
electronic,2010,0.794,123.97149999999999,0.6835,-5.1385,0.0572,0.7304999999999999,0.07505,0.0,0.0633,73.5
hip-hop,2010,0.76,80.082,0.435,-4.935,0.158,0.206,0.0721,0.0,0.0175,76.0
pop,2010,0.837,120.012,0.663,-4.582,0.104,0.591,0.0422,0.0,0.0338,81.0
pop,2011,0.8115,124.9735,0.6165,-5.5245,0.1935,0.47850000000000004,0.04345,0.0,0.03905,76.5
electronic,2011,0.7715000000000001,129.5135,0.7324999999999999,-4.3265,0.1865,0.5525,0.1023,0.000243,0.065,76.5
hip-hop,2012,0.5255,113.4285,0.7905,-6.92,0.28200000000000003,0.4095,0.18455000000000002,0.0,0.14905000000000002,72.5
electronic,2012,0.8235,127.5375,0.606,-3.577,0.1945,0.369,0.06369999999999999,0.0,0.08349999999999999,75.0
pop,2012,0.71,127.99,0.666,-4.457,0.116,0.66,0.0489,0.0,0.055,76.0
pop,2013,0.5680000000000001,120.5315,0.531,-6.032,0.11299999999999999,0.34299999999999997,0.044399999999999995,3.965e-06,0.1725,80.5
latin,2013,0.746,175.965,0.746,-5.046,0.274,0.733,0.102,0.0,0.152,69.0
hip-hop,2013,0.678,117.067,0.595,-5.18,0.418,0.259,0.0335,0.00389,0.0199,83.0
electronic,2013,0.809,116.047,0.701,-6.869,0.131,0.498,0.0558,6.53e-06,0.0391,70.0
electronic,2014,0.754,125.983,0.596,-5.414,0.193,0.457,0.0433,1.41e-05,0.129,75.0
hip-hop,2014,0.638,82.81,0.677,-8.631,0.193,0.435,0.333,0.0,0.589,73.0
pop,2014,0.713,120.076,0.672,-5.797,0.151,0.591,0.0383,0.0,0.0647,82.0
latin,2014,0.711,173.916,0.718,-5.746,0.1,0.92,0.11,5.52e-05,0.157,72.0
latin,2015,0.701,175.95,0.73,-5.885,0.151,0.785,0.106,0.0,0.132,82.0
electronic,2015,0.805,123.063,0.579,-4.145,0.198,0.432,0.0527,0.0,0.0594,74.0
hip-hop,2015,0.631,105.989,0.648,-5.662,0.147,0.19,0.173,0.0,0.38,72.0
pop,2015,0.699,118.582,0.655,-6.684,0.177,0.417,0.0499,1.38e-06,0.0797,78.0
pop,2016,0.714,119.992,0.679,-4.987,0.153,0.494,0.0751,0.0,0.112,79.0
hip-hop,2016,0.536,129.902,0.741,-8.861,0.11,0.429,0.174,0.0,0.23,71.0
latin,2016,0.888,130.97,0.617,-4.567,0.162,0.771,0.0402,0.0,0.0705,72.0
electronic,2016,0.714,121.999,0.631,-5.371,0.111,0.425,0.0409,3.17e-05,0.109,77.0
hip-hop,2017,0.57,129.953,0.76,-7.002,0.114,0.364,0.133,0.0,0.138,72.0
latin,2017,0.681,140.006,0.807,-6.268,0.0962,0.676,0.0983,0.0,0.423,69.0
electronic,2017,0.635,103.019,0.646,-5.025,0.164,0.544,0.034,0.0,0.0498,77.0
pop,2017,0.5585,112.7165,0.6014999999999999,-6.2445,0.111,0.2825,0.04825,1.005e-06,0.22949999999999998,79.0
electronic,2018,0.77,117.973,0.73,-5.335,0.112,0.459,0.0476,7.97e-06,0.176,74.0
hip-hop,2018,0.556,120.0795,0.8075,-6.615,0.11699999999999999,0.376,0.214,0.0,0.1455,72.0
latin,2018,0.69,106.034,0.799,-7.252,0.093,0.682,0.1,0.000404,0.161,69.0
pop,2018,0.5854999999999999,113.97800000000001,0.617,-7.233,0.10515,0.39,0.034600000000000006,0.0,0.42650000000000005,75.0
hip-hop,2019,0.633,139.961,0.6975,-6.5295000000000005,0.1365,0.4245,0.2015,0.0,0.161,73.0
