genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape,source
electronic,1,2010,2012,2013,2014,1,1,1,3.9842859300128106,2.9231961918300655,4.165713657732882,manual
electronic,1,2010,2012,2013,2014,0,0,0,3.535530568224459,2.5,3.571428346655498,grid
electronic,1,2010,2012,2013,2014,0,0,1,3.537099025248295,2.5749750280659924,3.6713935769918153,grid
electronic,1,2010,2012,2013,2014,0,0,2,3.53103276016554,2.6696769804260754,3.796747452883617,grid
electronic,1,2010,2012,2013,2014,0,0,3,3.5422510243542886,2.7724477179033187,3.9336080290181603,grid
electronic,1,2010,2012,2013,2014,0,1,0,3.5355339059323256,2.5,3.571428571428544,grid
electronic,1,2010,2012,2013,2014,0,1,1,3.5354978591672968,2.5,3.571426143900741,grid
electronic,1,2010,2012,2013,2014,0,1,2,3.6113399404507316,2.7467555754174455,3.904785872882318,grid
electronic,1,2010,2012,2013,2014,0,1,3,3.6300238375070624,2.8363870796700184,4.024791095354733,grid
electronic,1,2010,2012,2013,2014,0,2,0,3.259601202587166,3.24999999998154,4.4999999999771445,grid
electronic,1,2010,2012,2013,2014,1,0,0,3.9551329764799408,2.84738997990128,4.062827919664904,grid
electronic,1,2010,2012,2013,2014,1,0,1,3.787660797782974,2.829775456625164,4.027674986508671,grid
electronic,1,2010,2012,2013,2014,1,0,2,3.69077716226035,2.8687606339033493,4.072196993686034,grid
electronic,1,2010,2012,2013,2014,1,0,3,3.648302560152413,2.925622888031107,4.14393840238566,grid
electronic,1,2010,2012,2013,2014,1,1,0,4.387317141613942,3.2199917993149967,4.588558541914125,grid
electronic,1,2010,2012,2013,2014,1,1,1,3.9842859300128106,2.9231961918300655,4.165713657732882,grid
electronic,1,2010,2012,2013,2014,1,1,2,3.9847321313985717,3.0243463260388808,4.300025779789003,grid
electronic,1,2010,2012,2013,2014,1,1,3,4.100365023842258,3.1063563904358773,4.417181665252482,grid
electronic,1,2010,2012,2013,2014,2,0,0,3.6910030247437984,3.249995404246171,4.571402266072902,grid
electronic,1,2010,2012,2013,2014,2,0,1,3.691036888220713,3.2499762809268375,4.571380951023667,grid
electronic,1,2010,2012,2013,2014,2,0,2,3.690885922490185,3.249999251798428,4.571395474289752,grid
electronic,1,2010,2012,2013,2014,2,0,3,3.6907620904816816,3.2498479012833315,4.5711874146986435,grid
electronic,1,2010,2012,2013,2014,2,1,0,4.388288839550056,3.220612116824647,4.589451376437938,grid
electronic,1,2010,2012,2013,2014,2,1,1,4.347599134294159,3.1832625733499214,4.536941561076378,grid
electronic,1,2010,2012,2013,2014,2,1,2,5.419677010305768,4.378203572130545,6.198205238663048,grid
electronic,1,2010,2012,2013,2014,2,1,3,5.25341234807658,4.050713778123473,5.753135911854816,grid
electronic,1,2010,2012,2013,2014,3,0,0,3.691037471609897,3.2499946721967206,4.57140478035905,grid
electronic,1,2010,2012,2013,2014,3,0,1,3.6905860518794773,3.2499989434561343,4.5713649432679455,grid
electronic,1,2010,2012,2013,2014,3,0,2,3.6902445796507988,3.2499987182254912,4.571330329043753,grid
electronic,1,2010,2012,2013,2014,3,0,3,3.690144954300507,3.250002694680262,4.57132545230495,grid
electronic,1,2010,2012,2013,2014,3,1,0,5.394542055368743,4.263312279693736,6.044828241293188,grid
electronic,1,2010,2012,2013,2014,3,1,1,4.347658225608281,3.1832074019179046,4.536872327407904,grid
electronic,1,2010,2012,2013,2014,3,1,2,5.426037771647208,4.3368537516598735,6.144270318122967,grid
electronic,1,2010,2012,2013,2014,3,1,3,5.28714101442317,4.044620922663626,5.747577880558103,grid
electronic,2,2011,2013,2014,2015,1,1,1,7.869399770197587,7.8625451530195605,10.551268857459398,manual
electronic,2,2011,2013,2014,2015,0,0,0,0.8333373759429965,0.666671719921851,0.890397173588791,grid
