genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape,source
hip-hop,1,2012,2014,2015,2016,1,1,1,7.72282328519123,6.377915194605528,8.87800354730989,manual
hip-hop,1,2012,2014,2015,2016,0,0,0,4.693371050437084,4.666661742303688,6.532009283542912,grid
hip-hop,1,2012,2014,2015,2016,0,0,1,5.800117281280263,5.799901399962188,8.112636369815766,grid
hip-hop,1,2012,2014,2015,2016,0,0,2,6.468535440235191,6.446044828321959,9.01061688180895,grid
hip-hop,1,2012,2014,2015,2016,0,0,3,6.822097939049941,6.72871558507746,9.400248685632704,grid
hip-hop,1,2012,2014,2015,2016,0,1,0,1.5811388300817495,1.4999999999974278,2.102895148666199,grid
hip-hop,1,2012,2014,2015,2016,0,1,1,4.692489174651111,4.665774818207353,6.530768769597531,grid
hip-hop,1,2012,2014,2015,2016,0,1,2,6.214187969903384,6.212531307327794,8.68787652246903,grid
hip-hop,1,2012,2014,2015,2016,0,1,3,6.756106095434826,6.688091837431394,9.34507914316815,grid
hip-hop,1,2012,2014,2015,2016,0,2,0,14.230249470755684,13.499999999998082,18.92605633802548,grid
hip-hop,1,2012,2014,2015,2016,1,0,0,7.727188023856534,6.376363617102335,8.875735561473984,grid
hip-hop,1,2012,2014,2015,2016,1,0,1,7.680132337529785,6.377259501509371,8.877821856756267,grid
hip-hop,1,2012,2014,2015,2016,1,0,2,7.653932345684235,6.396451970110505,8.905411677376982,grid
hip-hop,1,2012,2014,2015,2016,1,0,3,7.6418915302441155,6.4190476055657655,8.937570446779771,grid
hip-hop,1,2012,2014,2015,2016,1,1,0,7.898930613278092,6.499992931647029,9.047445930606452,grid
hip-hop,1,2012,2014,2015,2016,1,1,1,7.72282328519123,6.377915194605528,8.87800354730989,grid
hip-hop,1,2012,2014,2015,2016,1,1,2,7.668347048911545,6.3829448515154255,8.886064399272907,grid
hip-hop,1,2012,2014,2015,2016,1,1,3,7.718972749490731,6.4619282789440575,8.996808062847009,grid
hip-hop,1,2012,2014,2015,2016,2,0,0,7.632247624753298,6.499949096264878,9.052156568649599,grid
hip-hop,1,2012,2014,2015,2016,2,0,1,7.630560929110943,6.50191604298238,9.054970466034916,grid
hip-hop,1,2012,2014,2015,2016,2,0,2,7.635093092067243,6.466812796701788,9.005235639614579,grid
hip-hop,1,2012,2014,2015,2016,2,0,3,7.645201609263325,6.412927902122206,8.928858993718414,grid
hip-hop,1,2012,2014,2015,2016,2,1,0,7.833930389982582,6.4626510792883,8.995807858046593,grid
hip-hop,1,2012,2014,2015,2016,2,1,1,7.90429660318183,6.506277510459334,9.056232645870782,grid
hip-hop,1,2012,2014,2015,2016,2,1,2,7.794771892429662,6.4584678144364815,8.990577555410201,grid
hip-hop,1,2012,2014,2015,2016,2,1,3,7.766426480254371,6.473563996788165,9.01241122093204,grid
hip-hop,1,2012,2014,2015,2016,3,0,0,7.632100150821492,6.499966403877323,9.052183803527052,grid
hip-hop,1,2012,2014,2015,2016,3,0,1,7.631262943051464,6.499057480944074,9.050913698495403,grid
hip-hop,1,2012,2014,2015,2016,3,0,2,7.622209017606362,6.512829762910414,9.070566479419195,grid
hip-hop,1,2012,2014,2015,2016,3,0,3,7.629659344431009,6.4991611884854095,9.05109033377968,grid
hip-hop,1,2012,2014,2015,2016,3,1,0,7.723220122244571,6.473206200075957,9.012675258660853,grid
hip-hop,1,2012,2014,2015,2016,3,1,1,7.91465958312617,6.518388827291346,9.073165639771572,grid
hip-hop,1,2012,2014,2015,2016,3,1,2,7.844835272371016,6.470587367561244,9.006832695638357,grid
hip-hop,1,2012,2014,2015,2016,3,1,3,7.970521794731742,6.631079998447348,9.231435812757486,grid
hip-hop,2,2013,2015,2016,2017,1,1,1,1.6710890375829288,1.439426369519218,2.021584964240943,manual
hip-hop,2,2013,2015,2016,2017,0,0,0,4.52768330536715,4.499990679290391,6.298891501746145,grid
hip-hop,2,2013,2015,2016,2017,0,0,1,5.598701167432101,5.350037544161459,7.49907457831781,grid
hip-hop,2,2013,2015,2016,2017,0,0,2,6.533464258925445,6.4664509183602235,9.053558734320372,grid
hip-hop,2,2013,2015,2016,2017,0,0,3,6.901334778919739,6.602274903399085,9.254057954109616,grid
hip-hop,2,2013,2015,2016,2017,0,1,0,0.7071067811864671,0.5,0.7042253521126749,grid
hip-hop,2,2013,2015,2016,2017,0,1,1,0.8596775882047011,0.6993179217362098,0.9830053091576486,grid
hip-hop,2,2013,2015,2016,2017,0,1,2,3.653414041100088,3.5949567085608294,5.0345241337177535,grid
hip-hop,2,2013,2015,2016,2017,0,1,3,6.048069131525714,6.047044837711681,8.456730302529891,grid
hip-hop,2,2013,2015,2016,2017,0,2,0,1.4142135623856156,1.00000000001328,1.38888888890742,grid
hip-hop,2,2013,2015,2016,2017,1,0,0,4.776156857019333,4.619374097084091,6.472850074256881,grid
hip-hop,2,2013,2015,2016,2017,1,0,1,5.731816915433768,5.25512239431562,7.372564965244234,grid
hip-hop,2,2013,2015,2016,2017,1,0,2,6.2456201011065415,6.011349083676642,8.424466501171,grid
hip-hop,2,2013,2015,2016,2017,1,0,3,6.782417354847785,6.213098145235861,8.716677141144219,grid
hip-hop,2,2013,2015,2016,2017,1,1,0,0.5916777418689774,0.5194564597258662,0.729318795994215,grid
hip-hop,2,2013,2015,2016,2017,1,1,1,1.6710890375829288,1.439426369519218,2.021584964240943,grid
hip-hop,2,2013,2015,2016,2017,1,1,2,5.320225475265266,5.320221957975512,7.441293599686364,grid
hip-hop,2,2013,2015,2016,2017,1,1,3,6.479759782166765,6.476767679361004,9.056933530034215,grid
hip-hop,2,2013,2015,2016,2017,2,0,0,12.01499045900848,11.971260759510216,16.753858102929126,grid
hip-hop,2,2013,2015,2016,2017,2,0,1,12.022804773511272,11.97970546097324,16.76560035764251,grid
hip-hop,2,2013,2015,2016,2017,2,0,2,12.914883460646323,12.728005589270275,17.780865760171068,grid
hip-hop,2,2013,2015,2016,2017,2,0,3,14.535740618862992,14.013354253216342,19.562283232258505,grid
hip-hop,2,2013,2015,2016,2017,2,1,0,8.044144913769252,7.974025627115598,11.14266296497741,grid
hip-hop,2,2013,2015,2016,2017,2,1,1,6.213430333039876,6.205186124218436,8.682136024229106,grid
hip-hop,2,2013,2015,2016,2017,2,1,2,7.732175133574272,7.722390335880682,10.79727061946631,grid
hip-hop,2,2013,2015,2016,2017,2,1,3,8.358719632235946,8.339836884989424,11.659185697650464,grid
hip-hop,2,2013,2015,2016,2017,3,0,0,11.962412983747832,11.914213839987177,16.67454370061664,grid
hip-hop,2,2013,2015,2016,2017,3,0,1,11.83183145844334,11.77133474370039,16.4758981016244,grid
hip-hop,2,2013,2015,2016,2017,3,0,2,11.705952409534726,11.631838117662735,16.281964179053542,grid
hip-hop,2,2013,2015,2016,2017,3,0,3,11.627607332613213,11.602917495890516,16.221242819645795,grid
hip-hop,2,2013,2015,2016,2017,3,1,0,8.26543154037447,8.192316390791074,11.447616282152115,grid
hip-hop,2,2013,2015,2016,2017,3,1,1,6.211044938545215,6.202732338596796,8.678716330325203,grid
hip-hop,2,2013,2015,2016,2017,3,1,2,7.397029564950139,7.394681911365289,10.340895585762317,grid
hip-hop,2,2013,2015,2016,2017,3,1,3,7.938171005954739,7.931855640557686,11.090950442589232,grid
hip-hop,3,2014,2016,2017,2018,1,1,1,1.0000003540015143,1.0000003540015143,1.3888893805576588,manual
hip-hop,3,2014,2016,2017,2018,0,0,0,5.006996943279773e-06,5.006996943279773e-06,6.954162421221908e-06,grid
hip-hop,3,2014,2016,2017,2018,0,0,1,1.1222620723298762e-05,9.992980849915511e-06,1.3879140069327099e-05,grid
hip-hop,3,2014,2016,2017,2018,0,0,2,0.2357037003125475,0.16666845009277864,0.23148395846219255,grid
hip-hop,3,2014,2016,2017,2018,0,0,3,0.3333195022380771,0.3333195022370816,0.4629437531070578,grid
hip-hop,3,2014,2016,2017,2018,0,1,0,0.9999999999799627,0.9999999999799627,1.3888888888610593,grid
hip-hop,3,2014,2016,2017,2018,0,1,1,1.0000000417683736,1.0000000417683736,1.388888946900519,grid
hip-hop,3,2014,2016,2017,2018,0,1,2,1.0000000417706474,1.0000000417706474,1.388888946903677,grid
hip-hop,3,2014,2016,2017,2018,0,1,3,1.0000000417715,1.0000000417715,1.388888946904861,grid
hip-hop,3,2014,2016,2017,2018,0,2,0,2.549509756796415,2.5000000000000213,3.4722222222222516,grid
hip-hop,3,2014,2016,2017,2018,1,0,0,6.130454683252641e-06,6.023309090608109e-06,8.36570707028904e-06,grid
hip-hop,3,2014,2016,2017,2018,1,0,1,1.3720009085533889e-05,1.1831846478571606e-05,1.643312010912723e-05,grid
hip-hop,3,2014,2016,2017,2018,1,0,2,0.23568414916818423,0.16668599798401829,0.23150833053335873,grid
hip-hop,3,2014,2016,2017,2018,1,0,3,0.3333343922248069,0.333334392224117,0.46296443364460693,grid
hip-hop,3,2014,2016,2017,2018,1,1,0,1.0000000417802895,1.0000000417802895,1.3888889469170687,grid
hip-hop,3,2014,2016,2017,2018,1,1,1,1.0000003540015143,1.0000003540015143,1.3888893805576588,grid
hip-hop,3,2014,2016,2017,2018,1,1,2,1.0000003540038591,1.0000003540038591,1.3888893805609155,grid
hip-hop,3,2014,2016,2017,2018,1,1,3,1.0000003540046407,1.0000003540046407,1.3888893805620008,grid
hip-hop,3,2014,2016,2017,2018,2,0,0,0.6758277148298949,0.6068146321687635,0.8427981002343937,grid
hip-hop,3,2014,2016,2017,2018,2,0,1,0.7015029625258227,0.5552685187796484,0.771206276082845,grid
hip-hop,3,2014,2016,2017,2018,2,0,2,0.7062184275075589,0.5237467745306219,0.7274260757369749,grid
hip-hop,3,2014,2016,2017,2018,2,0,3,0.677724898464639,0.6047592718294723,0.8399434330964893,grid
hip-hop,3,2014,2016,2017,2018,2,1,0,1.0000000417779447,1.0000000417779447,1.388888946913812,grid
hip-hop,3,2014,2016,2017,2018,2,1,1,1.0000003539991695,1.0000003539991695,1.3888893805544023,grid
hip-hop,3,2014,2016,2017,2018,2,1,2,1.0000003540015143,1.0000003540015143,1.3888893805576588,grid
hip-hop,3,2014,2016,2017,2018,2,1,3,1.000000354002296,1.000000354002296,1.3888893805587443,grid
hip-hop,3,2014,2016,2017,2018,3,0,0,0.6830150316135745,0.5982519831293729,0.830905532124129,grid
hip-hop,3,2014,2016,2017,2018,3,0,1,0.6762397008288212,0.6063889369244322,0.8422068568394891,grid
hip-hop,3,2014,2016,2017,2018,3,0,2,0.7058659780729465,0.5277773749674495,0.7330241318992353,grid
hip-hop,3,2014,2016,2017,2018,3,0,3,0.6533580582941371,0.621926329036711,0.863786568106543,grid
hip-hop,3,2014,2016,2017,2018,3,1,0,1.000000041778783,1.000000041778783,1.3888889469149766,grid
hip-hop,3,2014,2016,2017,2018,3,1,1,2.548289181891237,2.4988885680485424,3.4706785667340867,grid
hip-hop,3,2014,2016,2017,2018,3,1,2,1.0000003540007327,1.0000003540007327,1.3888893805565732,grid
hip-hop,3,2014,2016,2017,2018,3,1,3,1.0000003540042286,1.0000003540042286,1.3888893805614286,grid
hip-hop,4,2015,2017,2018,2019,1,1,1,1.0033914054072628,1.0030879653873512,1.383400686580676,manual
hip-hop,4,2015,2017,2018,2019,0,0,0,0.9718296131800298,0.833338344883785,1.1447304034260732,grid
hip-hop,4,2015,2017,2018,2019,0,0,1,1.0511965986686802,0.95000943609719,1.306139386207517,grid
hip-hop,4,2015,2017,2018,2019,0,0,2,1.0845802727636251,1.0144742677972047,1.3956921539849874,grid
hip-hop,4,2015,2017,2018,2019,0,0,3,1.0876951849485266,1.040187291192943,1.4317847105833836,grid
hip-hop,4,2015,2017,2018,2019,0,1,0,0.7071067811919939,0.5000000000077023,0.6849315068599394,grid
hip-hop,4,2015,2017,2018,2019,0,1,1,0.9718314621259354,0.8333405011025405,1.1447333776623703,grid
hip-hop,4,2015,2017,2018,2019,0,1,2,1.075713947741238,0.9874321646377382,1.3579802828151823,grid
hip-hop,4,2015,2017,2018,2019,0,1,3,1.0866003215122941,1.0326213604483172,1.4211555969746783,grid
hip-hop,4,2015,2017,2018,2019,0,2,0,1.0000000000854996,1.0000000000854996,1.3793759514114246,grid
hip-hop,4,2015,2017,2018,2019,1,0,0,1.0000001133943934,1.0000001133943925,1.3793761080910036,grid
hip-hop,4,2015,2017,2018,2019,1,0,1,1.000002050406161,1.0000020503876712,1.3793788373984868,grid
hip-hop,4,2015,2017,2018,2019,1,0,2,1.000002612257387,1.000002611987071,1.3793797753961798,grid
hip-hop,4,2015,2017,2018,2019,1,0,3,1.000000154333486,1.0000001539595544,1.3793764238130592,grid
hip-hop,4,2015,2017,2018,2019,1,1,0,0.9999999999990904,0.9999999926011611,1.3793747839511052,grid
hip-hop,4,2015,2017,2018,2019,1,1,1,1.0033914054072628,1.0030879653873512,1.383400686580676,grid
hip-hop,4,2015,2017,2018,2019,1,1,2,1.0000248573034622,1.0000248496967288,1.3794090550000877,grid
hip-hop,4,2015,2017,2018,2019,1,1,3,1.0000254577817023,1.0000254517002247,1.3794100096018023,grid
hip-hop,4,2015,2017,2018,2019,2,0,0,1.0000003490625895,1.0000003490567053,1.3793764001404571,grid
hip-hop,4,2015,2017,2018,2019,2,0,1,1.0000084136224123,1.0000084131171505,1.3793872537397136,grid
hip-hop,4,2015,2017,2018,2019,2,0,2,1.000004566241448,1.0000045659315902,1.3793820126134844,grid
hip-hop,4,2015,2017,2018,2019,2,0,3,1.0000113672567665,1.0000113671201234,1.3793914735630797,grid
hip-hop,4,2015,2017,2018,2019,2,1,0,0.9999996884685548,0.9999996846906214,1.3793746894564731,grid
hip-hop,4,2015,2017,2018,2019,2,1,1,1.0000000006200274,0.9999999999783569,1.3793756104747792,grid
hip-hop,4,2015,2017,2018,2019,2,1,2,1.0000035006828274,1.000003500401995,1.3793805542120903,grid
hip-hop,4,2015,2017,2018,2019,2,1,3,1.0000071126946997,1.0000071120753162,1.3793854266996837,grid
hip-hop,4,2015,2017,2018,2019,3,0,0,0.9999999385724293,0.9999999385710794,1.3793758509293745,grid
hip-hop,4,2015,2017,2018,2019,3,0,1,1.0000059368591643,1.0000059366240635,1.3793839338497953,grid
hip-hop,4,2015,2017,2018,2019,3,0,2,1.000013390746056,1.000013390132743,1.3793940881449276,grid
hip-hop,4,2015,2017,2018,2019,3,0,3,1.0000154030304846,1.0000154022347303,1.3793968172565747,grid
hip-hop,4,2015,2017,2018,2019,3,1,0,0.9999986189872134,0.9999985946515366,1.3793719140865264,grid
hip-hop,4,2015,2017,2018,2019,3,1,1,0.9999978968243242,0.9999978967412346,1.3793729274775866,grid
hip-hop,4,2015,2017,2018,2019,3,1,2,0.9999994729798095,0.999999472846909,1.3793750690582351,grid
hip-hop,4,2015,2017,2018,2019,3,1,3,1.0000006886619945,1.0000006886488535,1.3793768524303498,grid
hip-hop,5,2016,2018,2019,2020,1,1,1,0.9999999999999858,0.9999999999999858,1.3891568589474774,manual
