genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape
pop,1,2008,2010,2011,2012,1,0,2,0.5305184353482715,0.45435074334201175,0.594698519385505
pop,2,2009,2011,2012,2013,3,0,2,1.7612690670669753,1.6400382738990444,2.1212456504406556
pop,3,2010,2012,2013,2014,2,0,0,2.002560224964832,1.664301769462675,2.035892095769045
pop,4,2011,2013,2014,2015,0,1,0,2.061552812798087,2.0,2.517198248904181
pop,5,2012,2014,2015,2016,0,0,3,0.13462665622830045,0.12765392797812325,0.16297006893220942
pop,6,2013,2015,2016,2017,0,1,0,1.0000000000521823,1.0000000000521823,1.26582278487618
pop,7,2014,2016,2017,2018,3,0,0,1.5814022952195395,1.5002737347109942,1.9328447880592032
pop,8,2015,2017,2018,2019,2,0,3,2.951629478635008,2.9511915388771754,3.9221169840357826
pop,9,2016,2018,2019,2020,2,1,3,0.40275261193658546,0.38478909235679737,0.5040115367671764
pop,10,2017,2019,2020,2021,0,0,3,0.7389601429616021,0.5701147022594171,0.7352184122545485
pop,11,2018,2020,2021,2022,2,1,0,0.7742998073725419,0.6358413187262499,0.8157766209309216
