genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape,source
pop,1,2008,2010,2011,2012,0,0,0,0.7905646177829752,0.7499949432431805,0.9846854905795066,grid
pop,1,2008,2010,2011,2012,0,0,1,1.1858593336453362,1.125003086841069,1.473817226815473,grid
pop,1,2008,2010,2011,2012,0,0,2,2.358634266456363,2.233106503005857,2.9254311973756324,grid
pop,1,2008,2010,2011,2012,0,0,3,0.7099775006048169,0.6712523979394192,0.8813349530565948,grid
pop,1,2008,2010,2011,2012,0,1,0,4.756574397621607,4.750000000011511,6.2306501548138575,grid
pop,1,2008,2010,2011,2012,0,1,1,2.714623036593658,2.703086796757546,3.5461449647878034,grid
pop,1,2008,2010,2011,2012,0,1,2,1.9942347526167303,1.9704176532446738,2.58286074670875,grid
pop,1,2008,2010,2011,2012,0,1,3,3.701629575697689,3.5957780142234554,4.719604322012744,grid
pop,1,2008,2010,2011,2012,0,2,0,14.916433890178796,14.50000000000238,19.03164774682115,grid
pop,1,2008,2010,2011,2012,1,0,0,1.9941413781343105,1.9872310595889573,2.605519453450093,grid
pop,1,2008,2010,2011,2012,1,0,1,2.61899211891697,2.554683914678243,3.3479608872682975,grid
pop,1,2008,2010,2011,2012,1,0,2,0.5305184353482715,0.45435074334201175,0.594698519385505,grid
pop,1,2008,2010,2011,2012,1,0,3,1.2741917921532502,1.009383929591948,1.3204526499632057,grid
pop,1,2008,2010,2011,2012,1,1,0,3.1370693072734896,3.089585526364047,4.054297112606879,grid
pop,1,2008,2010,2011,2012,1,1,1,3.844996485643471,3.7140451166263517,4.8752093270279895,grid
pop,1,2008,2010,2011,2012,1,1,2,1.7459683475930856,1.6624043349881745,2.177931025982559,grid
pop,1,2008,2010,2011,2012,1,1,3,3.259417325976398,3.2079481126510316,4.209671153306674,grid
pop,1,2008,2010,2011,2012,2,0,0,9.096187234714879,8.97375461184091,11.775380778263461,grid
pop,1,2008,2010,2011,2012,2,0,1,9.110225312338978,8.986894122789856,11.79264136169953,grid
pop,1,2008,2010,2011,2012,2,0,2,8.959868604908792,8.845727249759399,11.607208539769713,grid
pop,1,2008,2010,2011,2012,2,0,3,7.193430134182967,6.940857297980067,9.094737049259278,grid
pop,1,2008,2010,2011,2012,2,1,0,7.297350060134613,6.571600175564704,8.632226751268524,grid
pop,1,2008,2010,2011,2012,2,1,1,6.54506275999808,5.955431478728535,7.8221598774096135,grid
pop,1,2008,2010,2011,2012,2,1,2,5.513481861727968,5.111849229729415,6.7130194486506785,grid
pop,1,2008,2010,2011,2012,2,1,3,4.852421309201016,4.575992444054833,6.008307941722218,grid
pop,1,2008,2010,2011,2012,3,0,0,9.114936366301809,8.99137051389696,11.79851984225944,grid
pop,1,2008,2010,2011,2012,3,0,1,9.093675228433572,8.971399613166007,11.772287259104322,grid
pop,1,2008,2010,2011,2012,3,0,2,8.68254788760615,8.584338706653185,11.263869632079851,grid
pop,1,2008,2010,2011,2012,3,0,3,5.943693223952798,5.941832195429903,7.7932900980325694,grid
pop,1,2008,2010,2011,2012,3,1,0,7.261897337458436,6.542633078473536,8.594144036922529,grid
pop,1,2008,2010,2011,2012,3,1,1,6.089079125330574,5.582854990750526,7.332307948099101,grid
pop,1,2008,2010,2011,2012,3,1,2,5.411044220523421,5.030346614956052,6.605819835300997,grid
pop,1,2008,2010,2011,2012,3,1,3,4.196750405195942,4.015393302373134,5.271393784631365,grid
pop,2,2009,2011,2012,2013,0,0,0,2.4295651949184105,2.25,2.844066502733363,grid
pop,2,2009,2011,2012,2013,0,0,1,2.3347953205580256,2.2750091347807953,2.8904586914480412,grid
pop,2,2009,2011,2012,2013,0,0,2,2.2897509733220223,2.277621012908753,2.904449941152973,grid
pop,2,2009,2011,2012,2013,0,0,3,2.2898146062772224,2.2896720376912327,2.927580018887621,grid
pop,2,2009,2011,2012,2013,0,1,0,2.850438562747653,2.25,2.8134194181105054,grid
pop,2,2009,2011,2012,2013,0,1,1,2.4296710146766163,2.25,2.844056189435317,grid
pop,2,2009,2011,2012,2013,0,1,2,2.2350891184324415,2.2258475313850212,2.839420143581317,grid
pop,2,2009,2011,2012,2013,0,1,3,2.3326974373824343,2.330803283619211,2.984583616762946,grid
pop,2,2009,2011,2012,2013,0,2,0,9.617692030840304,8.500000000004455,10.706113108864749,grid
pop,2,2009,2011,2012,2013,1,0,0,3.8052357413407427,3.8052305225212066,4.867170126249226,grid
pop,2,2009,2011,2012,2013,1,0,1,3.4584727152542922,3.458461845792023,4.423735678478805,grid
pop,2,2009,2011,2012,2013,1,0,2,3.157310492359899,3.156244195727453,4.039894078347989,grid
pop,2,2009,2011,2012,2013,1,0,3,2.944030759421013,2.9391412649335322,3.765436653199662,grid
pop,2,2009,2011,2012,2013,1,1,0,4.249589699644034,4.22115479330941,5.416960071247225,grid
pop,2,2009,2011,2012,2013,1,1,1,3.9056968038968503,3.897671967040729,4.9943751975254695,grid
pop,2,2009,2011,2012,2013,1,1,2,3.393173115779652,3.349589021323226,4.304103887241077,grid
pop,2,2009,2011,2012,2013,1,1,3,4.26145391347749,4.233184672069946,5.432319148570949,grid
pop,2,2009,2011,2012,2013,2,0,0,2.5491988659402627,2.4996768570256975,3.2155080518868098,grid
pop,2,2009,2011,2012,2013,2,0,1,2.548494847240591,2.498926155534548,3.21455390995383,grid
pop,2,2009,2011,2012,2013,2,0,2,2.5481422030111402,2.4985517002966873,3.214077698331846,grid
pop,2,2009,2011,2012,2013,2,0,3,2.546530688598061,2.4968452321168826,3.2119066546114112,grid
pop,2,2009,2011,2012,2013,2,1,0,4.9682693691053075,4.630656947974309,5.988874699666098,grid
pop,2,2009,2011,2012,2013,2,1,1,4.970872422477122,4.518131230225386,5.854974363727923,grid
pop,2,2009,2011,2012,2013,2,1,2,4.898838958594955,4.413708721460239,5.723359071157847,grid
pop,2,2009,2011,2012,2013,2,1,3,4.954434070314146,4.510057498957025,5.843842905987186,grid
pop,2,2009,2011,2012,2013,3,0,0,2.5471994427420834,2.4975392984626836,3.212792170841874,grid
pop,2,2009,2011,2012,2013,3,0,1,2.536669320408961,2.4863074175354924,3.1985160303393387,grid
pop,2,2009,2011,2012,2013,3,0,2,1.7612690670669753,1.6400382738990444,2.1212456504406556,grid
pop,2,2009,2011,2012,2013,3,0,3,2.4076243243637463,2.3481686508883115,3.022893693190583,grid
pop,2,2009,2011,2012,2013,3,1,0,4.994207474340981,4.617223677275817,5.975492845862426,grid
pop,2,2009,2011,2012,2013,3,1,1,5.096770682275695,4.707114250964246,6.092339967452832,grid
pop,2,2009,2011,2012,2013,3,1,2,4.504328643009195,4.309641272034433,5.560261796621632,grid
pop,2,2009,2011,2012,2013,3,1,3,5.050072921176108,4.648203890012184,6.017716380080644,grid
pop,3,2010,2012,2013,2014,0,0,0,3.498020236532477,3.4166717101867903,4.196971314235369,grid
pop,3,2010,2012,2013,2014,0,0,1,3.2827647332577463,3.025059471442397,3.7089812350110267,grid
pop,3,2010,2012,2013,2014,0,0,2,2.699689768506492,2.5332281805983143,3.107480718702421,grid
pop,3,2010,2012,2013,2014,0,0,3,2.8438421260337257,2.462461175658426,3.0148165184830424,grid
pop,3,2010,2012,2013,2014,0,1,0,5.303300858894577,5.249999999995424,6.453567641260842,grid
pop,3,2010,2012,2013,2014,0,1,1,5.192509545224012,5.1380594952999985,6.315782972172776,grid
pop,3,2010,2012,2013,2014,0,1,2,4.851484369465142,4.789923938782209,5.8870400493175,grid
pop,3,2010,2012,2013,2014,0,1,3,4.660149264122984,4.612603535281359,5.669990098414128,grid
pop,3,2010,2012,2013,2014,0,2,0,6.082762530296031,5.999999999997897,7.373882745036049,grid
pop,3,2010,2012,2013,2014,1,0,0,3.522706681618187,3.357391885763718,4.120409480977717,grid
pop,3,2010,2012,2013,2014,1,0,1,3.4363408816881598,3.0639369088979365,3.753642961281888,grid
pop,3,2010,2012,2013,2014,1,0,2,3.0061391320446473,2.7229240980025224,3.337104011355364,grid
pop,3,2010,2012,2013,2014,1,0,3,3.1502700123814478,2.62723453771396,3.214044056888496,grid
pop,3,2010,2012,2013,2014,1,1,0,5.425383772589411,5.371603932005414,6.603110308512276,grid
pop,3,2010,2012,2013,2014,1,1,1,5.291877458815447,5.238538435918542,6.439466096347342,grid
pop,3,2010,2012,2013,2014,1,1,2,4.3442042853955565,4.281265754999858,5.2613277156199585,grid
pop,3,2010,2012,2013,2014,1,1,3,3.9319074118638855,3.8951355956085223,4.788326079217834,grid
pop,3,2010,2012,2013,2014,2,0,0,2.002560224964832,1.664301769462675,2.035892095769045,grid
pop,3,2010,2012,2013,2014,2,0,1,7.776531100282463,5.974456465789068,7.297244376041771,grid
pop,3,2010,2012,2013,2014,2,0,2,7.440228587406113,5.718798459300459,6.985044520384507,grid
pop,3,2010,2012,2013,2014,2,0,3,4.917066064260953,3.7815024419329006,4.618844167123274,grid
pop,3,2010,2012,2013,2014,2,1,0,5.429121805390984,5.375305357147639,6.607660367415525,grid
pop,3,2010,2012,2013,2014,2,1,1,4.203828102651839,4.154489029207056,5.106356622998889,grid
pop,3,2010,2012,2013,2014,2,1,2,3.6764374732737997,3.6251087652512126,4.455096852658147,grid
pop,3,2010,2012,2013,2014,2,1,3,3.3803624591752786,3.3438663028816933,4.110249911975594,grid
pop,3,2010,2012,2013,2014,3,0,0,7.803009077569183,5.994322070186065,7.321497359496341,grid
pop,3,2010,2012,2013,2014,3,0,1,7.755193518922927,5.95785135467473,7.276957872145576,grid
pop,3,2010,2012,2013,2014,3,0,2,4.105860448745404,3.1552950627371956,3.853920929079213,grid
pop,3,2010,2012,2013,2014,3,0,3,7.444725762030151,5.720524937185168,6.9871132992430685,grid
pop,3,2010,2012,2013,2014,3,1,0,5.429047537025579,5.375235299470852,6.607574532041692,grid
pop,3,2010,2012,2013,2014,3,1,1,4.203911464662508,4.1545649908996936,5.1064495055677135,grid
pop,3,2010,2012,2013,2014,3,1,2,3.724599758272669,3.6689289303777883,4.508700240678156,grid
pop,3,2010,2012,2013,2014,3,1,3,3.3867617972986146,3.3496544232828853,4.117322282308901,grid
pop,4,2011,2013,2014,2015,0,0,0,3.0731852892431863,2.333338342808588,2.85595790219961,grid
pop,4,2011,2013,2014,2015,0,0,1,4.081112553824401,3.1249093798826024,3.8264982502894713,grid
pop,4,2011,2013,2014,2015,0,0,2,4.811073508277197,3.4135057179458173,4.163536224737983,grid
pop,4,2011,2013,2014,2015,0,0,3,3.34906176626362,3.046323357052515,3.7667756678370092,grid
pop,4,2011,2013,2014,2015,0,1,0,2.061552812798087,2.0,2.517198248904181,grid
pop,4,2011,2013,2014,2015,0,1,1,2.0644903990705936,2.0,2.4855541852533323,grid
pop,4,2011,2013,2014,2015,0,1,2,3.196400019674586,3.0895645578005855,3.8899960085689878,grid
pop,4,2011,2013,2014,2015,0,1,3,2.9287164132922716,2.87284818419851,3.611108364727639,grid
pop,4,2011,2013,2014,2015,0,2,0,8.403868157006073,7.250000000019654,9.201063164502585,grid
pop,4,2011,2013,2014,2015,1,0,0,4.272287353468412,3.093685120911992,3.7773907927293555,grid
pop,4,2011,2013,2014,2015,1,0,1,4.794267485726659,3.51378892819654,4.292993066346876,grid
pop,4,2011,2013,2014,2015,1,0,2,3.6515561380016663,3.0289448873876808,3.724776291143581,grid
pop,4,2011,2013,2014,2015,1,0,3,4.187633350956195,3.4005310737384704,4.176902439844447,grid
pop,4,2011,2013,2014,2015,1,1,0,2.1423228727859156,2.108444764439419,2.6253379225023292,grid
pop,4,2011,2013,2014,2015,1,1,1,2.08908359619469,2.0359109221237546,2.531835603949293,grid
pop,4,2011,2013,2014,2015,1,1,2,3.226756200075254,3.1124670756760437,3.9196329329993467,grid
pop,4,2011,2013,2014,2015,1,1,3,3.0113734345402587,2.940280937880857,3.6979897655407554,grid
pop,4,2011,2013,2014,2015,2,0,0,8.424738646951281,8.239935529620787,10.251485879093632,grid
pop,4,2011,2013,2014,2015,2,0,1,8.428206950119685,8.243924348531905,10.25654009672506,grid
pop,4,2011,2013,2014,2015,2,0,2,8.404253763563986,8.216579521903682,10.221920769739471,grid
pop,4,2011,2013,2014,2015,2,0,3,7.3902397601953105,7.0138397020840415,8.699972934485999,grid
pop,4,2011,2013,2014,2015,2,1,0,4.426883323796244,3.985589709818697,5.045351460510789,grid
pop,4,2011,2013,2014,2015,2,1,1,4.239181075695887,3.8537598425689836,4.875438303130609,grid
pop,4,2011,2013,2014,2015,2,1,2,4.0997010901776045,3.75736571768649,4.750927924185474,grid
pop,4,2011,2013,2014,2015,2,1,3,3.742154380476245,3.498503771954553,4.417397726991553,grid
pop,4,2011,2013,2014,2015,3,0,0,8.428789124237205,8.244546773310915,10.257322620522416,grid
pop,4,2011,2013,2014,2015,3,0,1,8.421146338598977,8.235841225336557,10.246302992094188,grid
pop,4,2011,2013,2014,2015,3,0,2,8.379070026123095,8.187750906201757,10.185419429512852,grid
pop,4,2011,2013,2014,2015,3,0,3,8.395084657122235,8.206083918149687,10.208631025285875,grid
pop,4,2011,2013,2014,2015,3,1,0,4.43403904495908,3.9905549402385674,5.051754721838499,grid
pop,4,2011,2013,2014,2015,3,1,1,4.22706792756006,3.8446696325130105,4.86377932576022,grid
pop,4,2011,2013,2014,2015,3,1,2,3.8013120287091606,3.5448476137269225,4.476751211338155,grid
pop,4,2011,2013,2014,2015,3,1,3,3.698318711951575,3.4678856373915323,4.377750673734667,grid
pop,5,2012,2014,2015,2016,0,0,0,1.1180276297764045,0.9999928904464497,1.2779851006174343,grid
pop,5,2012,2014,2015,2016,0,0,1,0.4596742074325658,0.42507197047184064,0.5400951820253762,grid
pop,5,2012,2014,2015,2016,0,0,2,0.5700840970601165,0.5500042099906821,0.7018876321655036,grid
pop,5,2012,2014,2015,2016,0,0,3,0.13462665622830045,0.12765392797812325,0.16297006893220942,grid
pop,5,2012,2014,2015,2016,0,1,0,3.5355339059293334,3.499999999996561,4.462836741313373,grid
pop,5,2012,2014,2015,2016,0,1,1,3.0415478939380534,3.000168927097107,3.8260834270873567,grid
pop,5,2012,2014,2015,2016,0,1,2,3.3999288822270506,3.3289003440783347,4.2464190625994895,grid
pop,5,2012,2014,2015,2016,0,1,3,2.649316461245083,2.557461453580146,3.2636564256267273,grid
pop,5,2012,2014,2015,2016,0,2,0,5.755432216595143,5.749999999984681,7.323109380051932,grid
pop,5,2012,2014,2015,2016,1,0,0,0.9472896258789754,0.8969724629062199,1.145158263364671,grid
pop,5,2012,2014,2015,2016,1,0,1,0.5371602566897957,0.422178036409953,0.5351332925211835,grid
pop,5,2012,2014,2015,2016,1,0,2,0.3516324075784724,0.3234292292373482,0.41314808870353903,grid
pop,5,2012,2014,2015,2016,1,0,3,0.2577189402500073,0.24103418033997315,0.3078025721063585,grid
pop,5,2012,2014,2015,2016,1,1,0,4.676029080197994,4.670376089753418,5.951630193493343,grid
pop,5,2012,2014,2015,2016,1,1,1,3.493402834947688,3.4565581255069944,4.407543481020541,grid
pop,5,2012,2014,2015,2016,1,1,2,3.4559491346987956,3.4202231413356756,4.361170660962877,grid
pop,5,2012,2014,2015,2016,1,1,3,2.0965162163485007,1.8196525632112426,2.3265719180759112,grid
pop,5,2012,2014,2015,2016,2,0,0,2.9761306474594513,2.260745162150293,2.864341386022166,grid
pop,5,2012,2014,2015,2016,2,0,1,6.7187205774757395,6.1589281674009015,7.8243005481923005,grid
pop,5,2012,2014,2015,2016,2,0,2,3.2264565985166223,2.6701247999734434,3.3868743164060633,grid
pop,5,2012,2014,2015,2016,2,0,3,5.93454229247772,5.502860066231257,6.992267295943577,grid
pop,5,2012,2014,2015,2016,2,1,0,2.051178950268786,2.04846286571545,2.610468941112291,grid
pop,5,2012,2014,2015,2016,2,1,1,2.782379390087863,2.6742922506969364,3.4131115315516642,grid
pop,5,2012,2014,2015,2016,2,1,2,2.6517811586319233,2.518757153652423,3.215467491505425,grid
pop,5,2012,2014,2015,2016,2,1,3,2.5320124017415337,2.366449172441861,3.0220145918410184,grid
pop,5,2012,2014,2015,2016,3,0,0,6.778411766333569,6.20857445310596,7.887259077993453,grid
pop,5,2012,2014,2015,2016,3,0,1,6.737931793700912,6.174847583993774,7.844487137350686,grid
pop,5,2012,2014,2015,2016,3,0,2,2.7116734839506336,1.9184579673045974,2.428444287197708,grid
pop,5,2012,2014,2015,2016,3,0,3,5.301693971716423,4.968851478906004,6.315001384534012,grid
pop,5,2012,2014,2015,2016,3,1,0,2.0714855086521005,2.0707385951616715,2.6384419192240736,grid
pop,5,2012,2014,2015,2016,3,1,1,2.781697233035767,2.673427672424495,3.4120144856561527,grid
pop,5,2012,2014,2015,2016,3,1,2,2.5603509387617778,2.3940345747812657,3.0572149477095594,grid
pop,5,2012,2014,2015,2016,3,1,3,2.4486316461547957,2.2438034812945844,2.8664193890643577,grid
pop,6,2013,2015,2016,2017,0,0,0,1.1666617211097332,1.1666617211097332,1.4767869887464977,grid
pop,6,2013,2015,2016,2017,0,0,1,1.8552932164866462,1.7999028806787933,2.2783580768085994,grid
pop,6,2013,2015,2016,2017,0,0,2,2.288297888935752,2.0408094451716394,2.5833030951539744,grid
pop,6,2013,2015,2016,2017,0,0,3,2.5956776637927144,2.045515625170772,2.5892602850262936,grid
pop,6,2013,2015,2016,2017,0,1,0,1.0000000000521823,1.0000000000521823,1.26582278487618,grid
pop,6,2013,2015,2016,2017,0,1,1,1.1665478603459576,1.1665478603459576,1.4766428611974147,grid
pop,6,2013,2015,2016,2017,0,1,2,1.7934096321035562,1.7415703677568715,2.204519452856799,grid
pop,6,2013,2015,2016,2017,0,1,3,1.834258426277654,1.7876916985127451,2.262900884193348,grid
pop,6,2013,2015,2016,2017,0,2,0,7.280109889274479,6.999999999994266,8.860759493663629,grid
pop,6,2013,2015,2016,2017,1,0,0,2.379777433944712,1.7747413271036763,2.2465080089919955,grid
pop,6,2013,2015,2016,2017,1,0,1,2.6496110069422047,1.9100093715623174,2.4177333817244526,grid
pop,6,2013,2015,2016,2017,1,0,2,2.8788346704498387,2.1444871344040024,2.7145406764607625,grid
pop,6,2013,2015,2016,2017,1,0,3,3.0749948807552503,2.448592269145955,3.0994838849948794,grid
pop,6,2013,2015,2016,2017,1,1,0,1.1546634844528088,0.8645630112735319,1.0943835585740909,grid
pop,6,2013,2015,2016,2017,1,1,1,1.6477216227036657,1.5714521916823614,1.9891799894713438,grid
pop,6,2013,2015,2016,2017,1,1,2,1.6352051653891027,1.5572083490037798,1.9711498088655441,grid
pop,6,2013,2015,2016,2017,1,1,3,1.8839686053539704,1.8393051097822237,2.32823431618003,grid
pop,6,2013,2015,2016,2017,2,0,0,2.1144860563646564,1.934936898415259,2.4492872131838723,grid
pop,6,2013,2015,2016,2017,2,0,1,4.60819804663183,4.498212722202943,5.69394015468727,grid
pop,6,2013,2015,2016,2017,2,0,2,4.607353418731763,4.497215738069151,5.692678149454622,grid
pop,6,2013,2015,2016,2017,2,0,3,3.642002299564348,3.320261740578971,4.202862962758191,grid
pop,6,2013,2015,2016,2017,2,1,0,2.1521214438026446,2.0977055721699003,2.6553235090758234,grid
pop,6,2013,2015,2016,2017,2,1,1,2.21132135254114,2.1721601989393875,2.749569872075174,grid
pop,6,2013,2015,2016,2017,2,1,2,2.2186729083217154,2.183593016551967,2.7640417931037558,grid
pop,6,2013,2015,2016,2017,2,1,3,2.1655838418556015,2.1276217095869185,2.6931920374517957,grid
pop,6,2013,2015,2016,2017,3,0,0,4.607822776615155,4.497792225841337,5.69340788081182,grid
pop,6,2013,2015,2016,2017,3,0,1,4.602801116821955,4.492067946188307,5.686161957200389,grid
pop,6,2013,2015,2016,2017,3,0,2,4.452119736730098,4.319006021898133,5.467096230250801,grid
pop,6,2013,2015,2016,2017,3,0,3,4.60196192652648,4.491105706199598,5.684943931898225,grid
pop,6,2013,2015,2016,2017,3,1,0,2.1549277765701262,2.0991038070246333,2.65709342661346,grid
pop,6,2013,2015,2016,2017,3,1,1,2.231428904643227,2.1825671847799413,2.7627432718733433,grid
pop,6,2013,2015,2016,2017,3,1,2,2.2522234056589565,2.2050526221099886,2.7912058507721373,grid
pop,6,2013,2015,2016,2017,3,1,3,2.207074563190984,2.1537988005106783,2.726327595583137,grid
pop,7,2014,2016,2017,2018,0,0,0,3.333329350476353,2.666661688093768,3.533045569337049,grid
pop,7,2014,2016,2017,2018,0,0,1,3.25958963669686,2.7499811473474693,3.6328871647392527,grid
pop,7,2014,2016,2017,2018,0,0,2,3.037642435920097,2.6885560023728488,3.541712884306411,grid
pop,7,2014,2016,2017,2018,0,0,3,2.7708534587704206,2.547028624279072,3.3468894130633067,grid
pop,7,2014,2016,2017,2018,0,1,0,2.8284271247421606,2.0,2.6666666666664747,grid
pop,7,2014,2016,2017,2018,0,1,1,3.2286679105618608,2.53461959210685,3.3614465585186064,grid
pop,7,2014,2016,2017,2018,0,1,2,2.893929903329842,2.1333413865935285,2.8384495474274596,grid
pop,7,2014,2016,2017,2018,0,1,3,2.8517945532196736,2.034188683649262,2.7110537060721263,grid
pop,7,2014,2016,2017,2018,0,2,0,4.301162633507471,3.499999999986258,4.632911392387051,grid
pop,7,2014,2016,2017,2018,1,0,0,3.0293779320839405,2.4291480371890657,3.2179670597596632,grid
pop,7,2014,2016,2017,2018,1,0,1,2.922474046341104,2.527534303159264,3.3342509755878513,grid
pop,7,2014,2016,2017,2018,1,0,2,2.733569333495519,2.4858420301382864,3.2689287983300135,grid
pop,7,2014,2016,2017,2018,1,0,3,2.9844666239396576,2.7525103957711607,3.616041245121078,grid
pop,7,2014,2016,2017,2018,1,1,0,2.6730637152987664,2.110817981749335,2.7985325903880063,grid
pop,7,2014,2016,2017,2018,1,1,1,2.8675183031583193,2.062282776460677,2.747351398800828,grid
pop,7,2014,2016,2017,2018,1,1,2,3.0889590062242247,2.3493502041890792,3.1208617892738646,grid
pop,7,2014,2016,2017,2018,1,1,3,3.0326695789595197,2.3885812675254527,3.1672238013272085,grid
pop,7,2014,2016,2017,2018,2,0,0,1.5814091108777288,1.5002083927896663,1.9327525272878499,grid
pop,7,2014,2016,2017,2018,2,0,1,1.5815889680638622,1.5004610452335925,1.9330872549360576,grid
pop,7,2014,2016,2017,2018,2,0,2,1.5819092109922692,1.5009701220512994,1.9337662271682845,grid
pop,7,2014,2016,2017,2018,2,0,3,2.052153229361109,2.0108196794545066,2.5993841813881065,grid
pop,7,2014,2016,2017,2018,2,1,0,2.6733402307549494,2.1100773831386945,2.7976174878981928,grid
pop,7,2014,2016,2017,2018,2,1,1,2.9461809427548067,2.22632002212827,2.9584119250553798,grid
pop,7,2014,2016,2017,2018,2,1,2,3.101639266721873,2.3989244579935303,3.1839539331829605,grid
pop,7,2014,2016,2017,2018,2,1,3,3.0748890248826113,2.4731464451010297,3.275722917635329,grid
pop,7,2014,2016,2017,2018,3,0,0,1.5814022952195395,1.5002737347109942,1.9328447880592032,grid
pop,7,2014,2016,2017,2018,3,0,1,1.5823331587115965,1.5012538337337986,1.9341183948395957,grid
pop,7,2014,2016,2017,2018,3,0,2,1.5854551621990336,1.5046724469399848,1.9385741922783004,grid
pop,7,2014,2016,2017,2018,3,0,3,1.5833190912807138,1.5023733555908692,1.9355814547268706,grid
pop,7,2014,2016,2017,2018,3,1,0,2.673339365289466,2.110084024421816,2.7976257830006355,grid
pop,7,2014,2016,2017,2018,3,1,1,2.9458224334983814,2.226165405230688,2.9581985328441416,grid
pop,7,2014,2016,2017,2018,3,1,2,3.1145306603592924,2.403684249331519,3.190629532518822,grid
pop,7,2014,2016,2017,2018,3,1,3,3.0387740110728676,2.9798226352920736,3.892618605391289,grid
pop,8,2015,2017,2018,2019,0,0,0,3.4257958003279305,3.4166616551166555,4.5415680273294186,grid
pop,8,2015,2017,2018,2019,0,0,1,3.353334959952921,3.349978817361553,4.4525104412735415,grid
pop,8,2015,2017,2018,2019,0,0,2,3.2218804448096834,3.2166600896121764,4.27548795267731,grid
pop,8,2015,2017,2018,2019,0,0,3,3.2251607868718213,3.2240130796691844,4.284829891750305,grid
pop,8,2015,2017,2018,2019,0,1,0,3.758324094593227,3.75,4.984547461368654,grid
pop,8,2015,2017,2018,2019,0,1,1,3.7583240922213856,3.7499999976228935,4.984547458209673,grid
pop,8,2015,2017,2018,2019,0,1,2,3.7583193012209444,3.7499951959948703,4.984541077237734,grid
pop,8,2015,2017,2018,2019,0,1,3,3.758321768219299,3.7499976155721058,4.984544296161377,grid
